From	Entry	Reviewed	Entry Name	Length
Q8N0U2	Q8N0U2	reviewed	TMM61_HUMAN	210
Q84JH7	Q84JH7	reviewed	SIRB_ARATH	225
P53059	P53059	reviewed	MNT2_YEAST	558
P40468	P40468	reviewed	TAO3_YEAST	2376
Q12098	Q12098	reviewed	SLX4_YEAST	748
Q9D850	Q9D850	reviewed	TMM68_MOUSE	329
Q6E7H0	Q6E7H0	reviewed	ORC3_ARATH	734
Q9D5U8	Q9D5U8	reviewed	CNBD2_MOUSE	673
P0DUR5	P0DUR5	reviewed	AACUI_ASPA1	143
Q17990	Q17990	reviewed	LITE1_CAEEL	439
P11956	P11956	reviewed	MT2_DROME	43
E5FYH0	E5FYH0	reviewed	TOPZ1_SHEEP	1599
O22969	O22969	reviewed	Y2416_ARATH	130
Q94K73	Q94K73	reviewed	SYFM_ARATH	429
B5DF21	B5DF21	reviewed	SMAG1_RAT	610
Q04370	Q04370	reviewed	PEX12_YEAST	399
Q04598	Q04598	reviewed	RM34_YEAST	105
Q6NZP2	Q6NZP2	reviewed	GPBL1_MOUSE	473
Q96DY2	Q96DY2	reviewed	DRC10_HUMAN	449
Q9CQU8	Q9CQU8	reviewed	IMP1L_MOUSE	166
Q12274	Q12274	reviewed	YOR97_YEAST	175
Q3E7B2	Q3E7B2	reviewed	COA3_YEAST	85
O75390	O75390	reviewed	CISY_HUMAN	466
P47042	P47042	reviewed	IKS1_YEAST	667
P37107	P37107	reviewed	SR54C_ARATH	564
P01051	P01051	reviewed	ICIC_HIRME	70
P50104	P50104	reviewed	STB4_YEAST	949
P19214	P19214	reviewed	EBA1_PLAFC	1435
Q94BR5	Q94BR5	reviewed	CHR28_ARATH	981
Q9Z286	Q9Z286	reviewed	ADCYA_RAT	1608
Q8SUE5	Q8SUE5	reviewed	YA88_ENCCU	306
P83834	P83834	reviewed	PR1_CUCME	41
P47160	P47160	reviewed	ENT3_YEAST	408
Q95Q62	Q95Q62	reviewed	IP3KH_CAEEL	494
P81589	P81589	reviewed	CUC11_CANPG	51
P38989	P38989	reviewed	SMC2_YEAST	1170
Q02825	Q02825	reviewed	SEN54_YEAST	467
Q65XV2	Q65XV2	reviewed	XB3_ORYSJ	450
Q9BXT8	Q9BXT8	reviewed	RNF17_HUMAN	1623
Q03433	Q03433	reviewed	VPS71_YEAST	280
O14795	O14795	reviewed	UN13B_HUMAN	1591
Q80W88	Q80W88	reviewed	HOMEZ_MOUSE	542
Q9H583	Q9H583	reviewed	HEAT1_HUMAN	2144
Q13951	Q13951	reviewed	PEBB_HUMAN	182
Q7TSF4	Q7TSF4	reviewed	LR75A_MOUSE	339
P25386	P25386	reviewed	USO1_YEAST	1790
P60125	P60125	reviewed	PSBF_WHEAT	39
Q9BSE5	Q9BSE5	reviewed	GDAH_HUMAN	352
P12904	P12904	reviewed	AAKG_YEAST	322
Q07629	Q07629	reviewed	YD218_YEAST	317
E1BKH1	E1BKH1	reviewed	EFHC1_BOVIN	640
Q9ZPR7	Q9ZPR7	reviewed	UPS1_ARATH	390
Q9JJB1	Q9JJB1	reviewed	T191C_MOUSE	302
Q0KK55	Q0KK55	reviewed	KNDC1_MOUSE	1742
Q9QXN3	Q9QXN3	reviewed	TRIP4_MOUSE	581
P21657	P21657	reviewed	DAL81_YEAST	970
Q8R310	Q8R310	reviewed	TMCC3_MOUSE	477
Q04978	Q04978	reviewed	YMF3_YEAST	212
P38167	P38167	reviewed	ECM21_YEAST	1117
P38794	P38794	reviewed	PCL5_YEAST	229
D3ZXD8	D3ZXD8	reviewed	TM245_RAT	876
Q9UTE3	Q9UTE3	reviewed	SEB1_SCHPO	620
Q9DB15	Q9DB15	reviewed	RM12_MOUSE	201
Q8BGK2	Q8BGK2	reviewed	ARHL1_MOUSE	353
Q04235	Q04235	reviewed	TYW2_YEAST	462
Q9H7T3	Q9H7T3	reviewed	CJ095_HUMAN	257
Q9C900	Q9C900	reviewed	SINE3_ARATH	193
Q502W6	Q502W6	reviewed	VWA3B_HUMAN	1294
P87252	P87252	reviewed	HEX1_NEUCR	176
Q8VZP4	Q8VZP4	reviewed	GAT10_ARATH	308
Q6BDR8	Q6BDR8	reviewed	NSE4_SCHPO	300
O94729	O94729	reviewed	TTI2_SCHPO	467
P32944	P32944	reviewed	SWE1_YEAST	819
Q96HQ2	Q96HQ2	reviewed	C2AIL_HUMAN	116
F1P3Y5	F1P3Y5	reviewed	CF144_CHICK	131
Q4WZ67	Q4WZ67	reviewed	EASL_ASPFU	436
Q2NL67	Q2NL67	reviewed	PARP6_HUMAN	630
Q80ZD3	Q80ZD3	reviewed	S2611_MOUSE	593
Q6Z955	Q6Z955	reviewed	CKX11_ORYSJ	518
A0PK84	A0PK84	reviewed	ZDH22_MOUSE	263
O55060	O55060	reviewed	TPMT_MOUSE	240
Q8BH70	Q8BH70	reviewed	FBXL4_MOUSE	621
O13936	O13936	reviewed	SPT5_SCHPO	990
Q93VG5	Q93VG5	reviewed	RS81_ARATH	222
C0HKC7	C0HKC7	reviewed	CBP4_MOROL	40
Q4KLP8	Q4KLP8	reviewed	SGO1_XENLA	663
Q5H9R4	Q5H9R4	reviewed	ARMX4_HUMAN	2290
Q9ESZ0	Q9ESZ0	reviewed	XRCC1_RAT	631
O75031	O75031	reviewed	HSF2B_HUMAN	334
Q9H4I9	Q9H4I9	reviewed	EMRE_HUMAN	107
P40061	P40061	reviewed	TSC11_YEAST	1430
Q86XT2	Q86XT2	reviewed	VP37D_HUMAN	251
O60187	O60187	reviewed	SID4_SCHPO	660
A2ASQ1	A2ASQ1	reviewed	AGRIN_MOUSE	1950
O49937	O49937	reviewed	RK4_SPIOL	293
Q4VAA2	Q4VAA2	reviewed	CDV3_MOUSE	281
P42845	P42845	reviewed	STB1_YEAST	420
O49160	O49160	reviewed	EIF3C_ARATH	900
O15342	O15342	reviewed	VA0E1_HUMAN	81
Q9VFS6	Q9VFS6	reviewed	INT5_DROME	994
Q9UBG3	Q9UBG3	reviewed	CRNN_HUMAN	495
Q9C8E6	Q9C8E6	reviewed	PMI1_ARATH	843
Q8SWK6	Q8SWK6	reviewed	Y191_ENCCU	161
P47858	P47858	reviewed	PFKAM_RAT	780
P38956	P38956	reviewed	SNF11_YEAST	169
Q6ZU35	Q6ZU35	reviewed	CRACD_HUMAN	1233
Q80TS7	Q80TS7	reviewed	DEND_MOUSE	710
Q8BHL8	Q8BHL8	reviewed	PSMF1_MOUSE	271
P30261	P30261	reviewed	DPOD3_SCHPO	372
Q9UTP3	Q9UTP3	reviewed	FTA6_SCHPO	59
G5EEW6	G5EEW6	reviewed	SIG7_CAEEL	427
Q06163	Q06163	reviewed	TERT_YEAST	884
D6WI29	D6WI29	reviewed	CGLR_TRICA	398
O42917	O42917	reviewed	ESO1_SCHPO	872
Q8VDY4	Q8VDY4	reviewed	EFCB7_MOUSE	628
Q9SAC6	Q9SAC6	reviewed	GWD1_ARATH	1399
P82924	P82924	reviewed	RT30_BOVIN	435
P14905	P14905	reviewed	CBS2_YEAST	389
Q8N567	Q8N567	reviewed	ZCHC9_HUMAN	271
O94717	O94717	reviewed	ERS1_SCHPO	956
P47077	P47077	reviewed	NOP9_YEAST	666
P85008	P85008	reviewed	DEF1_CRAVI	38
O96904	O96904	reviewed	TBC12_DICDI	438
Q8S3D2	Q8S3D2	reviewed	BH087_ARATH	373
S7UMJ0	S7UMJ0	reviewed	RASP2_TOXGG	437
Q9NEZ5	Q9NEZ5	reviewed	UNC95_CAEEL	350
Q9XIE4	Q9XIE4	reviewed	TORL5_ARATH	498
Q5T5P2	Q5T5P2	reviewed	SKT_HUMAN	1943
Q3TYA6	Q3TYA6	reviewed	MPP8_MOUSE	858
Q8SZ63	Q8SZ63	reviewed	GOGA5_DROME	516
Q9R0D8	Q9R0D8	reviewed	WDR54_MOUSE	334
O74870	O74870	reviewed	MUG73_SCHPO	306
P07247	P07247	reviewed	KRUP_DROME	502
Q8NI29	Q8NI29	reviewed	FBX27_HUMAN	283
D8UYN9	D8UYN9	reviewed	RFA1_TETTS	671
P53102	P53102	reviewed	MND1_YEAST	219
Q12348	Q12348	reviewed	CSN10_YEAST	645
P58058	P58058	reviewed	NADK_MOUSE	439
Q8LGA1	Q8LGA1	reviewed	CCD41_ARATH	308
Q7Z6W1	Q7Z6W1	reviewed	TMCO2_HUMAN	182
Q9D611	Q9D611	reviewed	OCSTP_MOUSE	498
Q86UW2	Q86UW2	reviewed	OSTB_HUMAN	128
Q8IVP5	Q8IVP5	reviewed	FUND1_HUMAN	155
Q9P7Y9	Q9P7Y9	reviewed	SIN1_SCHPO	665
P32606	P32606	reviewed	PT127_YEAST	800
A8JID5	A8JID5	reviewed	CF157_CHLRE	1206
Q9H808	Q9H808	reviewed	TLE6_HUMAN	572
Q8NA75	Q8NA75	reviewed	DC4L2_HUMAN	395
O14174	O14174	reviewed	SPT20_SCHPO	473
Q91618	Q91618	reviewed	PMYT1_XENLA	548
Q9R0Q2	Q9R0Q2	reviewed	LT4R1_RAT	351
Q2KHR3	Q2KHR3	reviewed	QSER1_HUMAN	1735
O70302	O70302	reviewed	CIDEA_MOUSE	217
Q1HAQ0	Q1HAQ0	reviewed	PCAT1_RAT	534
Q9WVM1	Q9WVM1	reviewed	RGAP1_MOUSE	628
P53724	P53724	reviewed	RM50_YEAST	139
Q05900	Q05900	reviewed	RU1C_YEAST	231
Q6V3W9	Q6V3W9	reviewed	PYRD_LACK1	446
Q12246	Q12246	reviewed	LCB4_YEAST	624
Q07953	Q07953	reviewed	SDO1_YEAST	250
P43548	P43548	reviewed	AGP3_YEAST	558
P80246	P80246	reviewed	MT10A_MYTED	73
Q5DTX6	Q5DTX6	reviewed	JCAD_MOUSE	1320
P83505	P83505	reviewed	ATPB_BRACM	32
O22267	O22267	reviewed	CKI1_ARATH	1122
O74872	O74872	reviewed	MU111_SCHPO	468
Q8VBW5	Q8VBW5	reviewed	BBX_MOUSE	907
P15891	P15891	reviewed	ABP1_YEAST	592
B2RZD2	B2RZD2	reviewed	T126B_RAT	229
P42939	P42939	reviewed	MVB12_YEAST	101
Q2NL68	Q2NL68	reviewed	PRSR3_HUMAN	480
P84579	P84579	reviewed	CH10C_POPEU	53
Q41247	Q41247	reviewed	AL7A1_BRANA	494
Q6PD31	Q6PD31	reviewed	TRAK1_MOUSE	939
Q99766	Q99766	reviewed	ATP5S_HUMAN	215
Q76NU3	Q76NU3	reviewed	TCPZ_DICDI	539
E9PV87	E9PV87	reviewed	TALD3_MOUSE	1520
Q96329	Q96329	reviewed	ACOX4_ARATH	436
C0SUW7	C0SUW7	reviewed	ARID6_ARATH	398
Q9Y6D0	Q9Y6D0	reviewed	SELK_HUMAN	94
Q03713	Q03713	reviewed	RCF1_YEAST	159
Q6IA69	Q6IA69	reviewed	NADE_HUMAN	706
Q20497	Q20497	reviewed	MED12_CAEEL	3498
Q15431	Q15431	reviewed	SYCP1_HUMAN	976
Q9V3S9	Q9V3S9	reviewed	BGM_DROME	666
Q62147	Q62147	reviewed	SSPN_MOUSE	216
Q03124	Q03124	reviewed	RSC9_YEAST	581
Q5DT39	Q5DT39	reviewed	KLRI1_RAT	243
Q9D287	Q9D287	reviewed	SPF27_MOUSE	225
Q9VHJ6	Q9VHJ6	reviewed	ICH_DROME	592
C0HLV8	C0HLV8	reviewed	MP31_HUMAN	31
Q8W4D6	Q8W4D6	reviewed	HC173_ARATH	598
Q9FFS4	Q9FFS4	reviewed	DDA1_ARATH	101
Q6NQI8	Q6NQI8	reviewed	LOH3_ARATH	308
P42799	P42799	reviewed	GSA1_ARATH	474
O13979	O13979	reviewed	MU105_SCHPO	244
P49193	P49193	reviewed	RALB_TODPA	343
Q8LBP4	Q8LBP4	reviewed	ALB3_ARATH	462
Q9STS7	Q9STS7	reviewed	CHL_ARATH	353
O22802	O22802	reviewed	CSTM7_ARATH	97
Q10LI1	Q10LI1	reviewed	SRFP1_ORYSJ	260
Q12314	Q12314	reviewed	SFM1_YEAST	213
O97965	O97965	reviewed	STP3_SHEEP	110
Q24212	Q24212	reviewed	STNB_DROME	1262
Q74ZQ8	Q74ZQ8	reviewed	SHU2_ASHGO	201
P29505	P29505	reviewed	COX5_DICDI	120
P40899	P40899	reviewed	ISP3_SCHPO	182
O60086	O60086	reviewed	ILV6_SCHPO	289
Q3E6R5	Q3E6R5	reviewed	YD381_YEAST	114
Q9SGS5	Q9SGS5	reviewed	Y1607_ARATH	272
Q6ZY51	Q6ZY51	reviewed	PWD_ARATH	1196
P51593	P51593	reviewed	HUWE1_RAT	4454
Q6C7L6	Q6C7L6	reviewed	N7BML_YARLI	237
P68359	P68359	reviewed	CSN4_BRAOL	45
Q5VJS5	Q5VJS5	reviewed	DAAF4_RAT	420
P00912	P00912	reviewed	TRPF_YEAST	224
Q9XH32	Q9XH32	reviewed	RISB_SPIOL	222
Q9EPU4	Q9EPU4	reviewed	CPSF1_MOUSE	1441
Q12690	Q12690	reviewed	RL13A_YEAST	199
O80775	O80775	reviewed	WDR55_ARATH	353
Q8MVR1	Q8MVR1	reviewed	GBPC_DICDI	2631
Q78KK3	Q78KK3	reviewed	S22AI_MOUSE	406
B3EWZ4	B3EWZ4	reviewed	SAP2_ACRMI	165
Q8IYT2	Q8IYT2	reviewed	CMTR2_HUMAN	770
D3YV10	D3YV10	reviewed	CCD13_MOUSE	709
Q08492	Q08492	reviewed	BUD21_YEAST	214
Q9NYJ1	Q9NYJ1	reviewed	COA4_HUMAN	87
O74761	O74761	reviewed	PRI2_SCHPO	459
A5PLL7	A5PLL7	reviewed	PDES1_HUMAN	270
Q9UT50	Q9UT50	reviewed	YFR3_SCHPO	485
P53072	P53072	reviewed	TAN1_YEAST	289
P48231	P48231	reviewed	TCB2_YEAST	1178
Q9VQF9	Q9VQF9	reviewed	SNAPN_DROME	134
Q9N623	Q9N623	reviewed	CRT_PLAFA	424
P50531	P50531	reviewed	RAD17_SCHPO	606
Q8W5B1	Q8W5B1	reviewed	VRN2_ARATH	440
Q9DBN1	Q9DBN1	reviewed	STR6L_MOUSE	621
Q8N6T0	Q8N6T0	reviewed	TO6BL_HUMAN	577
Q9H2L5	Q9H2L5	reviewed	RASF4_HUMAN	321
P38325	P38325	reviewed	OM14_YEAST	134
Q6GQX2	Q6GQX2	reviewed	NCK5L_MOUSE	1323
P23654	P23654	reviewed	NRT_DROME	846
P50534	P50534	reviewed	MSL2_DROME	773
Q12407	Q12407	reviewed	YD199_YEAST	687
P27652	P27652	reviewed	LUCI_RENRE	311
P39723	P39723	reviewed	SPC72_YEAST	622
Q6ZQA0	Q6ZQA0	reviewed	NBEL2_MOUSE	2742
Q00566	Q00566	reviewed	MECP2_RAT	492
O94258	O94258	reviewed	XPOT_SCHPO	978
Q6S5J6	Q6S5J6	reviewed	KRIT1_MOUSE	736
A2A9F4	A2A9F4	reviewed	KDF1_MOUSE	397
Q9U6M2	Q9U6M2	reviewed	JBP1_CRIFA	811
P38128	P38128	reviewed	SMP1_YEAST	452
Q3T8J9	Q3T8J9	reviewed	GON4L_HUMAN	2241
O13769	O13769	reviewed	ULP2_SCHPO	638
Q6NSI3	Q6NSI3	reviewed	FA53A_HUMAN	398
P85120	P85120	reviewed	DAPLE_XENLA	2058
O00270	O00270	reviewed	GPR31_HUMAN	319
P86030	P86030	reviewed	GRP1_PSIGU	55
Q9UTK5	Q9UTK5	reviewed	ALM1_SCHPO	1727
Q9P7G6	Q9P7G6	reviewed	YK42_SCHPO	566
Q9Y7K9	Q9Y7K9	reviewed	YGI7_SCHPO	246
Q5U3W1	Q5U3W1	reviewed	SG196_DANRE	347
P13712	P13712	reviewed	MSI1_YEAST	422
P32899	P32899	reviewed	IMP3_YEAST	183
P0C606	P0C606	reviewed	SGF29_RAT	293
Q5NCS9	Q5NCS9	reviewed	MID49_MOUSE	454
Q0KK59	Q0KK59	reviewed	UNC79_MOUSE	2596
O74352	O74352	reviewed	HOB1_SCHPO	466
P63002	P63002	reviewed	TLE5_MOUSE	197
Q03213	Q03213	reviewed	HOT1_YEAST	719
O89016	O89016	reviewed	ABCD4_MOUSE	606
P30337	P30337	reviewed	CHIN_RAT	334
P27583	P27583	reviewed	FABG_PERAE	106
Q07440	Q07440	reviewed	B2LA1_MOUSE	172
P54074	P54074	reviewed	ASI1_YEAST	624
Q8BX17	Q8BX17	reviewed	GEMI5_MOUSE	1502
Q9H2B4	Q9H2B4	reviewed	S26A1_HUMAN	701
Q8VD62	Q8VD62	reviewed	CK068_MOUSE	298
Q04081	Q04081	reviewed	LCMT1_YEAST	328
Q9USU7	Q9USU7	reviewed	YHHB_SCHPO	310
P36085	P36085	reviewed	STB6_YEAST	766
B2RV46	B2RV46	reviewed	SPA6L_MOUSE	347
P13547	P13547	reviewed	ATP9_WHEAT	74
Q96MZ4	Q96MZ4	reviewed	F218A_HUMAN	157
F4JIJ7	F4JIJ7	reviewed	BH162_ARATH	190
Q84J71	Q84J71	reviewed	PP161_ARATH	463
P0C5N3	P0C5N3	reviewed	YG41A_YEAST	154
Q9UUD4	Q9UUD4	reviewed	MU124_SCHPO	145
Q8CC86	Q8CC86	reviewed	PNCB_MOUSE	538
Q9ERI5	Q9ERI5	reviewed	JMJD6_MOUSE	403
Q0JHF8	Q0JHF8	reviewed	F16P2_ORYSJ	339
Q53SZ7	Q53SZ7	reviewed	PRR30_HUMAN	412
P83944	P83944	reviewed	ALR_PENMO	120
Q05029	Q05029	reviewed	BCH1_YEAST	724
P87167	P87167	reviewed	BUT2_SCHPO	390
P40008	P40008	reviewed	FMP52_YEAST	231
Q9JLZ8	Q9JLZ8	reviewed	SIGIR_MOUSE	409
O43083	O43083	reviewed	HPC2_SCHPO	338
Q9D8H7	Q9D8H7	reviewed	OMA1_MOUSE	521
Q99N93	Q99N93	reviewed	RM16_MOUSE	251
Q96BZ8	Q96BZ8	reviewed	LENG1_HUMAN	264
Q8IQG1	Q8IQG1	reviewed	MOB2_DROME	566
P35209	P35209	reviewed	SPT21_YEAST	758
P11020	P11020	reviewed	SSS2_SCYCA	80
O75865	O75865	reviewed	TPC6A_HUMAN	159
P42942	P42942	reviewed	YG4I_YEAST	411
P86250	P86250	reviewed	NDUS2_MESAU	138
O14013	O14013	reviewed	RRN5_SCHPO	556
A0A1B3PEI8	A0A1B3PEI8	reviewed	PFA2_THRS2	2049
P40451	P40451	reviewed	AIM20_YEAST	204
Q25662	Q25662	reviewed	ROPE_PLACH	1939
Q75W54	Q75W54	reviewed	EBM_ARATH	944
B8NM72	B8NM72	reviewed	USTD_ASPFN	439
Q86WR6	Q86WR6	reviewed	CHCT1_HUMAN	236
Q15643	Q15643	reviewed	TRIPB_HUMAN	1979
Q803T2	Q803T2	reviewed	STRP1_DANRE	813
P47115	P47115	reviewed	YJ26_YEAST	236
O64818	O64818	reviewed	Y2309_ARATH	78
Q9D0P8	Q9D0P8	reviewed	IFT27_MOUSE	186
Q9SIU2	Q9SIU2	reviewed	NCBP1_ARATH	848
K3VFR8	K3VFR8	reviewed	FDB1_FUSPC	413
Q6BDS2	Q6BDS2	reviewed	BLT3A_HUMAN	1440
Q86XK2	Q86XK2	reviewed	FBX11_HUMAN	927
P34324	P34324	reviewed	BAT15_CAEEL	273
P92935	P92935	reviewed	TLC2_ARATH	618
P32789	P32789	reviewed	ALK2_YEAST	676
Q5EB52	Q5EB52	reviewed	MEST_HUMAN	335
P07702	P07702	reviewed	LYS2_YEAST	1392
Q6FJQ6	Q6FJQ6	reviewed	SLX4_CANGA	726
P27889	P27889	reviewed	HNF1B_MOUSE	558
Q17551	Q17551	reviewed	RPM1_CAEEL	3766
A0A1S3THR8	A0A1S3THR8	reviewed	PHBP_VIGRR	155
P0C8M9	P0C8M9	reviewed	SRP1_MAIZE	139
Q9HDZ7	Q9HDZ7	reviewed	ATG18_SCHPO	373
Q6ZWQ0	Q6ZWQ0	reviewed	SYNE2_MOUSE	6874
P0C1S9	P0C1S9	reviewed	DGLB_RAT	668
O43030	O43030	reviewed	FES1_SCHPO	287
P53899	P53899	reviewed	CUZ1_YEAST	274
Q8N103	Q8N103	reviewed	TAGAP_HUMAN	731
Q810H6	Q810H6	reviewed	DISC1_RAT	846
Q9VEB5	Q9VEB5	reviewed	SRR1L_DROME	276
Q7L8L6	Q7L8L6	reviewed	FAKD5_HUMAN	764
Q9CZB9	Q9CZB9	reviewed	TM128_MOUSE	163
Q06438	Q06438	reviewed	PEX2_CRIGR	304
G0S156	G0S156	reviewed	NUP53_CHATD	426
Q9D6J6	Q9D6J6	reviewed	NDUV2_MOUSE	248
B0F9L4	B0F9L4	reviewed	GOGC6_ARATH	914
Q04399	Q04399	reviewed	GMC1_YEAST	608
Q652L6	Q652L6	reviewed	MDAR3_ORYSJ	435
Q65ZG8	Q65ZG8	reviewed	PER_CAEEL	597
Q9SID1	Q9SID1	reviewed	BBX25_ARATH	238
P38687	P38687	reviewed	SRP68_YEAST	599
P0CU66	P0CU66	reviewed	OST4_CANLF	37
Q8GWI5	Q8GWI5	reviewed	Y4826_ARATH	257
Q93Z70	Q93Z70	reviewed	ARGC_ARATH	401
Q03818	Q03818	reviewed	ATG16_YEAST	150
P12353	P12353	reviewed	PSAD_SPIOL	212
O43592	O43592	reviewed	XPOT_HUMAN	962
Q08218	Q08218	reviewed	LDS2_YEAST	356
F4IIU4	F4IIU4	reviewed	AIR9_ARATH	1708
P40486	P40486	reviewed	SHQ1_YEAST	507
Q22639	Q22639	reviewed	VPS54_CAEEL	1058
Q5FVN1	Q5FVN1	reviewed	STBD1_RAT	333
Q8RWG2	Q8RWG2	reviewed	CF107_ARATH	652
Q9ZNU6	Q9ZNU6	reviewed	DET1_SOLLC	523
O65896	O65896	reviewed	CDA1_ARATH	301
Q96MT8	Q96MT8	reviewed	CEP63_HUMAN	703
Q9H0X6	Q9H0X6	reviewed	RN208_HUMAN	261
Q03862	Q03862	reviewed	ARX1_YEAST	593
P14725	P14725	reviewed	LAV1_PHYPO	355
P37996	P37996	reviewed	ARL3_RAT	182
Q8L7N4	Q8L7N4	reviewed	SP1_ARATH	343
Q9MAB9	Q9MAB9	reviewed	MUB1_ARATH	117
Q9W2U4	Q9W2U4	reviewed	PP4R2_DROME	609
Q9Y821	Q9Y821	reviewed	MED4_SCHPO	239
Q942X4	Q942X4	reviewed	SDH4_ORYSJ	211
Q54ER9	Q54ER9	reviewed	DIMB_DICDI	602
Q9VDS6	Q9VDS6	reviewed	SURF6_DROME	324
Q8JZP9	Q8JZP9	reviewed	GA2L1_MOUSE	678
Q95PZ0	Q95PZ0	reviewed	CSN6_CAEEL	426
Q9H1M0	Q9H1M0	reviewed	N62CL_HUMAN	184
P45972	P45972	reviewed	ZTF17_CAEEL	705
Q965X9	Q965X9	reviewed	NAPE2_CAEEL	355
Q9V333	Q9V333	reviewed	KDM4A_DROME	495
Q60974	Q60974	reviewed	NCOR1_MOUSE	2453
Q06162	Q06162	reviewed	NKP2_YEAST	153
Q96MF7	Q96MF7	reviewed	NSE2_HUMAN	247
O94326	O94326	reviewed	PIR2_SCHPO	609
Q8IUY3	Q8IUY3	reviewed	GRM2A_HUMAN	354
A8HPM5	A8HPM5	reviewed	PSBS2_CHLRE	245
Q8LBC0	Q8LBC0	reviewed	CCT13_ARATH	317
Q6L5B5	Q6L5B5	reviewed	PTD_ORYSJ	248
Q95TS5	Q95TS5	reviewed	INT9_DROME	654
Q9C8Z9	Q9C8Z9	reviewed	BH148_ARATH	221
O13637	O13637	reviewed	SEC31_SCHPO	1224
Q6P0X2	Q6P0X2	reviewed	ZN511_MOUSE	227
P25300	P25300	reviewed	BUD5_YEAST	642
Q156A1	Q156A1	reviewed	ATX8_HUMAN	80
Q57XK8	Q57XK8	reviewed	ZC320_TRYB2	405
Q9SYP3	Q9SYP3	reviewed	FBK7_ARATH	414
O74444	O74444	reviewed	MU122_SCHPO	749
P53278	P53278	reviewed	YG3A_YEAST	816
P47153	P47153	reviewed	TDA4_YEAST	279
Q99LS3	Q99LS3	reviewed	SERB_MOUSE	225
P25364	P25364	reviewed	HCM1_YEAST	564
P36068	P36068	reviewed	SHE2_YEAST	246
Q53SF7	Q53SF7	reviewed	COBL1_HUMAN	1128
Q08119	Q08119	reviewed	ESC8_YEAST	714
P49704	P49704	reviewed	PRP31_YEAST	494
Q9ZPI6	Q9ZPI6	reviewed	AIM1_ARATH	721
Q9ZPE4	Q9ZPE4	reviewed	FBW2_ARATH	317
Q9SGD2	Q9SGD2	reviewed	GT29A_ARATH	398
Q8C561	Q8C561	reviewed	LMBD2_MOUSE	694
Q8BT14	Q8BT14	reviewed	CNOT4_MOUSE	575
Q9HA92	Q9HA92	reviewed	RSAD1_HUMAN	442
A2A2Z9	A2A2Z9	reviewed	AN18B_HUMAN	1011
O13705	O13705	reviewed	SEC10_SCHPO	811
P13675	P13675	reviewed	SSTY1_MOUSE	232
Q8WWF6	Q8WWF6	reviewed	DNJB3_HUMAN	145
Q9FEC1	Q9FEC1	reviewed	OHP2_ARATH	172
P80503	P80503	reviewed	DLDH_SOLTU	40
Q8VD75	Q8VD75	reviewed	HIP1_MOUSE	1029
P51855	P51855	reviewed	GSHB_MOUSE	474
Q9LK57	Q9LK57	reviewed	PP226_ARATH	394
Q3E791	Q3E791	reviewed	YA063_YEAST	96
Q9WVR1	Q9WVR1	reviewed	INP5E_RAT	648
Q02435	Q02435	reviewed	BFSP1_RAT	617
Q99758	Q99758	reviewed	ABCA3_HUMAN	1704
Q9USY3	Q9USY3	reviewed	NAA35_SCHPO	708
Q3UFK8	Q3UFK8	reviewed	FRMD8_MOUSE	466
Q25088	Q25088	reviewed	CLSS_HAEMA	83
Q52KF3	Q52KF3	reviewed	SPIR1_MOUSE	598
P0CT05	P0CT05	reviewed	IPB1_YEASX	75
Q9Y704	Q9Y704	reviewed	MOK14_SCHPO	1369
O70343	O70343	reviewed	PRGC1_MOUSE	797
Q15526	Q15526	reviewed	SURF1_HUMAN	300
P85948	P85948	reviewed	UP24_PSEMZ	39
Q4VYC8	Q4VYC8	reviewed	NSP1_MEDTR	554
Q12381	Q12381	reviewed	PRP1_SCHPO	906
Q5VWC8	Q5VWC8	reviewed	HACD4_HUMAN	232
Q7RTY1	Q7RTY1	reviewed	MOT9_HUMAN	509
Q3UM83	Q3UM83	reviewed	KLRG2_MOUSE	387
Q8N8X9	Q8N8X9	reviewed	MB213_HUMAN	362
Q84U09	Q84U09	reviewed	KCP1_BRANA	215
Q6P1E7	Q6P1E7	reviewed	PRIPO_MOUSE	537
Q04299	Q04299	reviewed	YMX7_YEAST	284
Q5SRH9	Q5SRH9	reviewed	TT39A_HUMAN	613
Q9Y7X6	Q9Y7X6	reviewed	ISH1_SCHPO	684
P86383	P86383	reviewed	LYS_MERLU	122
Q9CQG1	Q9CQG1	reviewed	CHAC2_MOUSE	178
Q7Z3E2	Q7Z3E2	reviewed	CC186_HUMAN	898
Q04216	Q04216	reviewed	DLT1_YEAST	342
B3KS81	B3KS81	reviewed	SRRM5_HUMAN	715
Q8K2A1	Q8K2A1	reviewed	GULP1_MOUSE	304
P36406	P36406	reviewed	TRI23_HUMAN	574
Q9LMT7	Q9LMT7	reviewed	MAIN_ARATH	478
A5PL33	A5PL33	reviewed	KRBA1_HUMAN	1030
Q10164	Q10164	reviewed	RGA2_SCHPO	1275
Q8C7B6	Q8C7B6	reviewed	FXL22_MOUSE	236
Q54PV8	Q54PV8	reviewed	IPYR_DICDI	279
P26200	P26200	reviewed	PROF2_DICDI	124
P86029	P86029	reviewed	HQD2_CANAL	303
Q9QXP4	Q9QXP4	reviewed	DONS_MOUSE	560
Q9NPJ1	Q9NPJ1	reviewed	MKKS_HUMAN	570
K2RGJ8	K2RGJ8	reviewed	DPMPI_MACPH	196
P36041	P36041	reviewed	EAP1_YEAST	632
